Year,Team Name,TotalAttendance,HomeTotal,AwayTotal,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
2010,Detroit Lions,"977,218","450,286","526,932","62,080","56,688","63,377","70,729","55,714","78,341",Bye,"46,329","57,799","56,721","81,261","60,965","58,119","57,659","47,692","66,731","57,013"
2010,Green Bay Packers,"1,122,668","566,362","556,306","69,144","70,741","62,179","70,729","87,760","70,815","71,107","78,484","70,913",Bye,"64,120","68,204","70,575","57,659","68,756","70,649","70,833"
2010,Houston Texans,"1,108,625","568,643","539,982","70,974","88,240","71,456","32,218","71,110","70,926",Bye,"66,363","70,886","62,340","78,843","70,855","69,144","71,413","69,143","73,691","71,023"
2010,Indianapolis Colts,"1,093,781","535,802","557,979","70,974","67,275","76,401","63,111","66,869","87,883",Bye,"66,363","69,144","67,404","68,756","66,085","67,471","69,143","67,147","52,567","67,188"
2010,Jacksonville Jaguars,"1,061,603","504,262","557,341","63,636","62,691","63,256","63,111","58,304","63,625","69,105","81,395",Bye,"62,340","62,254","78,533","69,143","62,570","67,147","63,470","71,023"
2010,Kansas City Chiefs,"1,069,780","541,380","528,400","71,297","65,377","68,188",Bye,"66,869","70,926","69,105","66,625","61,075","75,334","66,247","66,370","67,267","66,780","55,669","65,606","67,045"
2010,Miami Dolphins,"1,077,049","541,959","535,090","69,295","63,846","70,481","69,090",Bye,"70,815","69,867","63,179","71,305","65,585","68,752","48,946","65,942","78,948","65,511","66,731","68,756"
2010,Minnesota Vikings,"1,029,797","470,009","559,788","70,051","63,846","63,377",Bye,"77,909","64,120","71,107","68,756","64,120","62,206","64,120","83,602","64,012","45,910","40,504","69,144","57,013"
2010,New England Patriots,"1,088,753","550,048","538,705","68,756","78,535","68,756","69,090",Bye,"68,756","68,836","68,756","66,292","64,359","68,756","60,965","68,756","62,347","68,756","68,281","68,756"
2010,New Orleans Saints,"1,113,131","560,304","552,827","70,051","69,732","70,051","70,016","62,621","51,759","70,077","70,011","73,191",Bye,"70,015","93,985","59,963","70,015","71,432","70,144","70,068"
2010,New York Giants,"1,190,095","631,156","558,939","77,245","67,275","78,386","77,716","71,110","78,341","91,375",Bye,"67,287","80,851","69,144","78,533","78,861","45,910","81,223","70,649","76,189"
2010,New York Jets,"1,163,375","628,768","534,607","78,127","78,535","70,481","69,262","77,909","75,982",Bye,"78,484","57,799","67,449","78,843","78,903","68,756","78,948","62,568","62,310","79,019"
2010,Oakland Raiders,"911,382","371,448","539,934","69,143","48,396","62,439","32,218","48,279","69,732","75,835","35,721","61,075",Bye,"64,987","48,946","68,183","62,570","44,246","52,567","67,045"
2010,Philadelphia Eagles,"1,125,926","553,152","572,774","69,144","56,688","63,256","69,144","69,732","69,144","69,143",Bye,"69,144","84,912","69,144","62,147","69,144","85,673","81,223","69,144","69,144"
2010,Pittsburgh Steelers,"1,049,715","504,669","545,046","63,609","69,143","61,036","64,729",Bye,"65,168","69,867","70,011","65,626","64,359","64,987","69,642","71,418","57,501","62,568","61,748","68,303"
2010,San Diego Chargers,"1,028,715","524,241","504,474","71,297","62,691","67,106","62,189","48,279","52,472","68,836","59,260","70,886",Bye,"68,482","66,085","68,183","66,780","67,820","54,194","74,155"
2010,San Francisco 49ers,"1,100,435","572,065","528,370","67,044","69,732","68,188","66,874","69,732","69,732","72,741","83,941",Bye,"69,732","69,732","62,308","70,575","69,732","67,820","52,820","69,732"
2010,Seattle Seahawks,"1,009,483","535,942","473,541","67,044","75,130","67,106","52,326",Bye,"62,137","67,132","35,721","67,287","61,904","70,015","66,370","66,577","69,732","67,101","46,576","67,325"
2010,St. Louis Rams,"911,195","423,383","487,812","52,440","48,396","52,370","52,326","55,714","52,472","42,020","52,281",Bye,"69,732","53,005","72,736","61,874","70,015","55,669","52,820","67,325"
2010,Tampa Bay Buccaneers,"937,014","394,513","542,501","47,211","72,577","61,036",Bye,"63,888","51,759","42,020","61,857","67,266","44,264","69,732","70,989","53,955","66,124","47,692","46,576","70,068"
2010,Tennessee Titans,"1,114,265","553,144","561,121","69,143","69,143","78,386","69,143","90,616","63,625","69,143","59,260",Bye,"65,585","69,143","70,855","69,143","69,143","69,143","65,606","67,188"
2010,Washington Redskins,"1,193,756","665,380","528,376","90,670","88,240","52,370","69,144","87,760","87,883","62,155","46,329",Bye,"84,912","69,143","83,602","78,861","66,124","86,904","63,470","76,189"
2011,Arizona Cardinals,"1,001,663","489,455","512,208","60,627","76,330","66,199","60,496","62,479",Bye,"62,475","71,022","60,628","69,144","69,732","56,029","62,180","60,808","60,443","41,273","61,798"
2011,Atlanta Falcons,"1,073,420","551,892","521,528","62,115","69,608","46,995","66,266","69,576","69,047","63,625",Bye,"65,218","70,359","68,164","68,115","71,545","72,680","68,856","73,084","68,167"
2011,Baltimore Ravens,"1,083,902","569,792","514,110","71,434","69,143","56,289","71,247",Bye,"71,154","62,976","71,022","64,851","66,522","71,320","71,345","63,648","71,187","67,242","71,083","63,439"
2011,Buffalo Bills,"1,032,609","490,443","542,166","68,755","68,191","68,174","41,142","69,803","79,243",Bye,"51,579","70,133","85,157","57,531","79,088","56,463","62,494","60,988","45,112","68,756"
2011,Carolina Panthers,"1,098,587","578,342","520,245","60,627","73,167","71,704","62,135","72,679","69,047","73,245","72,095",Bye,"72,409","63,633","63,928","56,270","72,680","71,540","70,363","73,065"
2011,Chicago Bears,"1,053,343","497,166","556,177","62,115","73,019","62,339","62,135","67,861","62,322","76,981",Bye,"69,144","62,396","62,344","59,244","61,973","76,487","61,542","70,574","62,867"
2011,Cincinnati Bengals,"923,005","394,009","528,996","67,321","73,281","43,363","41,142","61,799","52,068",Bye,"66,004","69,143","63,262","71,320","48,260","63,697","41,202","56,431","41,273","63,439"
2011,Cleveland Browns,"1,030,992","526,874","504,118","67,321","65,035","66,651","66,240",Bye,"57,300","66,350","69,732","71,511","64,900","63,498","48,260","63,648","60,754","60,443","71,083","68,266"
2011,Dallas Cowboys,"1,258,971","684,096","574,875","78,702","69,732","91,017","78,122",Bye,"68,756","80,086","69,144","81,510","85,157","80,122","87,418","62,180","95,952","65,162","84,834","81,077"
2011,Denver Broncos,"1,109,610","602,618","506,992","75,671","73,281","69,143","70,529","74,895",Bye,"63,800","74,977","58,125","72,908","74,746","64,436","62,939","76,487","76,556","45,112","76,005"
2011,Detroit Lions,"1,041,580","509,940","531,640","51,274","60,040","62,466","78,122","67,861","62,061","63,625","74,977",Bye,"62,396","63,633","66,263","73,042","63,988","59,069","62,469","70,294"
2011,Green Bay Packers,"1,123,023","564,097","558,926","70,555","73,167","62,339","70,529","69,576","70,604","63,946",Bye,"68,908","70,519","70,498","66,263","80,634","70,524","74,093","70,574","70,294"
2011,Houston Texans,"1,059,702","571,969","487,733","71,444","51,032","73,002","71,585","71,420","71,154","69,143","71,412","71,511","56,037",Bye,"62,004","71,545","41,202","71,540","64,159","71,512"
2011,Indianapolis Colts,"1,050,690","518,627","532,063","71,444","65,035","66,309","63,972","65,088","52,068","73,012","69,143","65,218","64,619",Bye,"63,928","68,756","71,187","64,271","64,159","62,481"
2011,Jacksonville Jaguars,"1,049,655","498,655","551,000","61,619","78,834","71,704","62,471","61,799","62,934","62,976","71,412",Bye,"64,619","63,498","62,004","62,743","62,562","68,856","69,143","62,481"
2011,Kansas City Chiefs,"1,107,206","576,659","530,547","68,755","60,040","62,236","72,931","65,088",Bye,"57,361","72,733","72,263","72,908","68,756","72,173","61,973","79,088","74,093","70,803","76,005"
2011,Miami Dolphins,"1,064,381","487,089","577,292","66,860","51,032","66,651","63,002",Bye,"78,912","63,800","79,302","72,263","57,007","57,531","87,418","57,225","67,823","60,988","68,756","65,811"
2011,Minnesota Vikings,"1,047,585","502,529","545,056","66,716","62,461","62,466","72,931","62,479","62,322","63,946","72,095",Bye,"70,519","62,748","68,115","62,939","63,988","62,623","68,370","62,867"
2011,New England Patriots,"1,114,691","550,048","564,643","66,860","68,756","68,174","62,572","68,756","68,756",Bye,"64,424","68,756","79,088","68,756","69,144","68,756","77,825","76,556","68,756","68,756"
2011,New Orleans Saints,"1,105,934","584,335","521,599","70,555","73,019","73,002","62,471","72,679","56,590","73,012","57,179","73,043","70,359",Bye,"73,068","73,042","69,143","62,623","73,084","73,065"
2011,New York Giants,"1,232,157","635,800","596,357","80,121","78,290","69,144","60,496","78,650","79,243",Bye,"79,302","68,756","69,732","79,743","73,068","80,634","95,952","78,861","79,088","81,077"
2011,New York Jets,"1,187,392","631,888","555,504","78,702","78,834","61,546","71,247","68,756","78,912","79,088",Bye,"70,133","79,088","74,746","79,088","74,121","79,088","69,144","79,088","65,811"
2011,Oakland Raiders,"1,018,629","473,938","544,691","75,671","68,191","61,546","62,572","71,420","57,300","57,361",Bye,"58,125","68,109","62,748","59,244","57,225","70,524","59,069","70,803","58,721"
2011,Philadelphia Eagles,"1,129,171","553,152","576,019","56,722","69,608","69,144","69,144","69,803","80,447",Bye,"69,144","69,144","69,144","79,743","69,144","67,039","67,823","69,144","84,834","69,144"
2011,Pittsburgh Steelers,"1,049,515","504,279","545,236","71,434","63,663","66,309","71,585","63,875","62,934","62,475","64,424","64,851","63,262",Bye,"72,173","63,697","60,754","69,732","60,081","68,266"
2011,San Diego Chargers,"1,064,892","523,143","541,749","66,716","68,756","62,236","63,002","74,895",Bye,"79,088","72,733","68,908","68,109","62,344","64,436","62,743","62,494","67,242","62,469","58,721"
2011,San Francisco 49ers,"1,065,296","557,856","507,440","69,732","69,732","43,363","69,144","69,732","62,061",Bye,"69,732","78,032","69,732","69,732","71,345","69,732","60,808","69,732","66,697","55,990"
2011,Seattle Seahawks,"1,070,956","531,311","539,645","69,732","63,663","66,199","66,266","78,650",Bye,"66,350","66,004","81,510","66,522","56,400","66,007","67,039","66,577","61,542","66,697","61,798"
2011,St. Louis Rams,"1,002,051","451,153","550,898","56,722","78,290","56,289","56,113",Bye,"70,604","80,086","57,179","60,628","64,900","56,400","56,029","69,732","66,577","56,431","60,081","55,990"
2011,Tampa Bay Buccaneers,"1,019,250","473,281","545,969","51,274","62,461","46,995","63,972","69,732","56,590","76,981",Bye,"73,043","56,037","70,498","69,143","56,270","62,562","65,162","70,363","68,167"
2011,Tennessee Titans,"1,077,697","553,144","524,553","61,619","69,143","69,143","66,240","63,875",Bye,"69,143","69,143","69,143","72,409","68,164","69,143","56,463","69,143","64,271","69,143","71,512"
2011,Washington Redskins,"1,158,341","615,368","542,973","80,121","76,330","91,017","56,113",Bye,"80,447","73,245","51,579","78,032","57,007","80,122","66,007","74,121","77,825","78,861","68,370","69,144"
2012,Arizona Cardinals,"1,028,241","487,125","541,116","60,032","68,756","60,436","60,183","54,653","60,385","61,068","62,810","70,504",Bye,"69,630","60,062","79,088","67,685","60,483","62,734","69,732"
2012,Atlanta Falcons,"1,102,398","560,773","541,625","71,180","70,427","61,297","69,594","75,337","69,383",Bye,"69,144","70,840","73,126","69,630","54,400","70,514","73,292","70,741","63,849","69,644"
2012,Baltimore Ravens,"1,109,404","570,229","539,175","71,064","69,144","71,269","70,944","68,803","71,384","71,708",Bye,"65,449","71,339","63,446","57,882","71,442","81,178","71,317","71,470","61,565"
2012,Buffalo Bills,"1,033,263","495,423","537,840","79,088","69,402","69,353","70,684","69,732","60,385","68,836",Bye,"71,698","68,756","69,118","64,366","53,971","68,109","40,770","54,462","54,533"
2012,Carolina Panthers,"1,108,455","586,347","522,108","51,533","72,879","73,951","69,594","72,676",Bye,"73,981","62,254","79,767","73,939","72,603","69,144","62,860","73,292","53,832","73,026","73,124"
2012,Chicago Bears,"1,056,462","498,633","557,829","62,341","70,543","62,224","90,080","67,012",Bye,"62,300","62,254","69,143","62,410","69,732","62,306","62,264","64,134","62,534","62,734","64,451"
2012,Cincinnati Bengals,"1,021,414","489,504","531,910","71,064","63,036","80,060","63,030","61,162","67,060","63,411",Bye,"63,623","56,614","63,336","56,503","54,980","63,590","69,144","63,236","61,565"
2012,Cleveland Browns,"1,065,268","533,058","532,210","68,693","63,036","69,353","70,944","79,911","67,060","64,560","65,337","65,449",Bye,"81,936","69,661","43,641","62,422","65,083","76,351","51,831"
2012,Dallas Cowboys,"1,290,328","708,249","582,079","82,287","68,008","81,984","90,080",Bye,"71,384","73,981","94,067","70,840","69,144","81,936","90,166","81,851","63,590","95,595","92,570","82,845"
2012,Denver Broncos,"1,157,779","613,062","544,717","76,823","70,427","76,566","76,787","68,756","68,604",Bye,"76,832","63,623","73,939","76,769","74,244","76,432","53,807","71,317","76,351","76,502"
2012,Detroit Lions,"1,038,451","510,158","528,293","62,315","69,732","69,143","63,616",Bye,"69,144","62,300","63,497","63,050","64,059","63,716","64,827","63,887","70,382","60,483","63,849","64,451"
2012,Green Bay Packers,"1,106,110","564,062","542,048","70,523","70,543","68,218","70,571","67,020","71,702","64,359","70,464","70,504",Bye,"63,716","80,365","70,567","70,382","62,534","70,508","64,134"
2012,Houston Texans,"1,123,975","573,321","550,654","71,566","62,907","76,566","71,581","79,088","71,702","71,708",Bye,"71,698","62,410","71,676","64,827","69,143","68,756","71,702","71,688","66,957"
2012,Indianapolis Colts,"1,062,645","521,518","541,127","62,341","63,912","63,536",Bye,"67,020","79,088","64,560","69,143","66,479","63,272","68,756","64,366","63,887","64,688","71,702","62,938","66,957"
2012,Jacksonville Jaguars,"1,010,570","519,872","490,698","56,607","62,907","63,536","63,030","67,012",Bye,"51,634","70,464","63,050","63,272","71,676","63,323","53,971","67,027","53,667","70,251","69,143"
2012,Kansas City Chiefs,"1,040,043","548,070","491,973","71,180","69,402","72,226","69,979","68,803","46,500",Bye,"74,730","55,831","57,644","63,336","74,244","62,860","62,422","51,446","62,938","76,502"
2012,Miami Dolphins,"1,005,117","459,033","546,084","71,566","54,245","60,102","60,183","61,162","52,983",Bye,"79,088","66,479","60,165","69,118","51,295","72,114","69,732","53,667","54,462","68,756"
2012,Minnesota Vikings,"1,019,702","485,802","533,900","56,607","63,912","57,288","63,616","57,652","78,476","61,068","60,860","67,584","64,059",Bye,"62,306","70,567","64,134","55,751","71,688","64,134"
2012,New England Patriots,"1,134,734","550,044","584,690","69,143","68,756","71,269","70,684","68,756","68,137","68,752","84,004",Bye,"68,756","68,756","79,088","72,114","68,756","68,756","70,251","68,756"
2012,New Orleans Saints,"1,163,696","583,107","580,589","72,180","72,879","72,226","70,571","73,109",Bye,"58,906","76,832","73,099","73,126","56,880","73,147","70,514","81,437","73,096","92,570","73,124"
2012,New York Giants,"1,229,929","643,964","585,965","82,287","76,964","73,951","69,144","79,911","69,732","81,352","94,067","80,991","56,614",Bye,"80,365","80,246","81,437","70,741","71,470","80,657"
2012,New York Jets,"1,142,324","632,704","509,620","79,088","64,511","60,102","79,088","79,088","79,088","68,752","79,088",Bye,"67,841","57,711","79,088","79,088","67,027","69,143","79,088","54,533"
2012,Oakland Raiders,"976,231","433,732","542,499","61,896","54,245","62,373","76,787",Bye,"69,383","51,634","74,730","52,055","71,339","56,880","56,503","43,641","53,807","51,446","73,026","66,486"
2012,Philadelphia Eagles,"1,126,893","553,152","573,741","68,693","69,144","60,436","69,144","64,737","69,144",Bye,"69,144","73,099","69,144","79,327","69,144","81,851","64,941","69,144","69,144","80,657"
2012,Pittsburgh Steelers,"1,078,574","489,135","589,439","76,823","64,511","62,373",Bye,"64,737","69,143","63,411","62,371","80,991","57,644","63,446","69,661","71,442","61,359","95,595","63,236","51,831"
2012,San Diego Chargers,"1,022,066","479,716","542,350","61,896","60,804","61,297","69,979","73,109","68,604",Bye,"65,337","55,831","54,813","76,769","57,882","54,980","61,359","53,832","79,088","66,486"
2012,San Francisco 49ers,"1,094,908","557,856","537,052","70,523","69,732","57,288","79,088","69,732","69,732","69,732","62,810",Bye,"69,732","69,732","73,147","57,279","69,732","68,756","68,161","69,732"
2012,Seattle Seahawks,"1,017,029","543,570","473,459","60,032","68,008","68,218","53,193","72,676","68,137","69,732","63,497","67,584","67,841",Bye,"51,295","62,264","67,685","40,770","68,161","67,936"
2012,St. Louis Rams,"975,825","480,929","494,896","62,315","53,979","62,224","53,193","54,653","52,983","64,359","84,004",Bye,"69,732","57,711","60,062","57,279","68,109","55,751","51,535","67,936"
2012,Tampa Bay Buccaneers,"1,004,457","440,819","563,638","51,533","76,964","81,984","58,191",Bye,"46,500","58,906","60,860","52,055","54,813","72,603","54,400","76,432","64,941","73,096","51,535","69,644"
2012,Tennessee Titans,"1,070,701","553,144","517,557","69,143","60,804","69,143","71,581","57,652","69,143","68,836","69,143","69,143","60,165",Bye,"63,323","69,143","64,688","69,143","70,508","69,143"
2012,Washington Redskins,"1,189,702","637,236","552,466","72,180","53,979","80,060","58,191","75,337","78,476","81,352","62,371","79,767",Bye,"79,327","90,166","80,246","81,178","65,083","69,144","82,845"
2013,Arizona Cardinals,"997,710","488,271","509,439","55,279","60,034","73,057","44,956","60,426","69,732","61,200","60,671",Bye,"60,845","59,862","60,882","69,144","60,643","69,143","68,266","63,570"
2013,Atlanta Falcons,"1,080,805","561,795","519,010","72,348","70,056","70,660","70,744","70,246",Bye,"69,522","60,671","73,720","70,309","55,360","70,422","38,969","77,550","70,069","69,732","70,427"
2013,Baltimore Ravens,"1,106,022","569,084","536,938","76,977","71,098","71,168","68,296","68,342","71,319","62,295",Bye,"71,513","70,992","62,367","71,148","71,005","70,921","64,742","71,433","62,406"
2013,Buffalo Bills,"1,032,476","502,842","529,634","69,519","67,819","76,957","68,296","71,239","67,739","60,592","72,405","68,159","60,406","68,036",Bye,"38,969","59,194","60,085","54,305","68,756"
2013,Carolina Panthers,"1,112,229","587,544","524,685","73,294","67,819","73,748",Bye,"60,426","63,963","72,686","59,073","73,720","69,732","74,225","60,156","72,795","73,089","73,251","73,825","70,427"
2013,Chicago Bears,"1,057,075","498,864","558,211","62,213","62,181","61,575","64,552","62,361","62,374","83,147",Bye,"78,122","62,431","62,367","66,024","64,134","62,229","71,513","69,144","62,708"
2013,Cincinnati Bengals,"1,001,806","506,377","495,429","62,213","64,585","64,633","71,481","64,259","67,739","63,207","62,576","52,388","70,992","63,856",Bye,"61,536","62,507","45,873","61,555","62,406"
2013,Cleveland Browns,"1,122,750","569,939","552,811","71,513","71,098","63,672","71,481","71,239","71,513","77,804","74,307","71,513",Bye,"63,856","71,513","69,654","68,756","71,513","76,957","56,361"
2013,Dallas Cowboys,"1,279,578","704,345","575,233","85,348","76,952","80,848","68,601","92,758","90,239","69,144","64,379","85,360","73,018",Bye,"80,499","87,572","62,229","91,054","80,411","91,166"
2013,Denver Broncos,"1,194,145","614,977","579,168","76,977","81,285","76,978","77,002","92,758","76,862","67,196","77,031",Bye,"68,847","77,076","68,756","77,065","76,554","76,497","71,761","51,500"
2013,Detroit Lions,"1,053,841","510,369","543,472","62,461","60,034","80,111","64,552","78,200","71,513","63,207","64,379",Bye,"62,431","57,905","62,098","64,934","69,144","64,742","63,996","64,134"
2013,Green Bay Packers,"1,191,205","623,577","567,628","69,732","78,020","64,633",Bye,"78,200","71,319","77,804","64,134","78,122","78,011","79,114","77,871","64,934","77,550","91,054","77,999","62,708"
2013,Houston Texans,"1,103,683","573,271","530,412","59,522","71,718","71,168","71,756","69,732","71,104","74,118",Bye,"71,778","60,845","71,726","71,659","71,769","60,414","65,470","71,761","69,143"
2013,Indianapolis Colts,"1,054,693","527,606","527,087","65,412","65,406","69,732","59,695","66,608","57,954","67,196",Bye,"71,778","66,004","69,143","60,882","65,502","62,507","65,470","75,396","66,008"
2013,Jacksonville Jaguars,"1,028,219","503,140","525,079","59,416","49,400","68,087","59,695","54,266","76,862","59,550","83,559",Bye,"69,143","59,862","71,659","69,654","60,414","60,085","60,559","66,008"
2013,Kansas City Chiefs,"1,118,007","602,877","515,130","59,416","76,952","69,144","73,386","69,143","76,394","74,118","74,307","68,159",Bye,"77,076","75,259","77,065","56,247","49,571","75,396","66,374"
2013,Miami Dolphins,"1,041,545","514,553","526,992","71,513","65,406","70,660","73,118","68,342",Bye,"60,592","68,756","52,388","64,448","60,256","60,156","76,957","52,489","71,863","54,305","70,296"
2013,Minnesota Vikings,"1,099,551","531,653","567,898","62,461","62,181","63,672","83,518",Bye,"63,963","79,314","64,134","85,360","64,011","68,235","77,871","64,134","70,921","64,087","61,555","64,134"
2013,New England Patriots,"1,120,817","550,048","570,769","69,519","68,756","68,756","70,744","64,259","68,756","76,957","68,756","68,756",Bye,"74,225","68,756","71,769","68,756","71,863","71,433","68,756"
2013,New Orleans Saints,"1,123,230","583,210","540,020","72,348","60,870","73,057","73,118","62,361","68,756",Bye,"72,405","76,957","73,018","73,025","70,422","68,387","73,089","58,442","73,825","73,150"
2013,New York Giants,"1,209,532","641,184","568,348","85,348","81,285","73,748","73,386","80,738","62,374","79,314","69,144",Bye,"80,366","79,114","80,499","75,220","65,132","79,691","63,996","80,177"
2013,New York Jets,"1,169,108","615,656","553,452","76,957","68,756","76,957","69,143","70,246","76,957","76,957","62,576","76,957",Bye,"68,036","71,148","76,957","76,957","73,251","76,957","70,296"
2013,Oakland Raiders,"1,004,636","403,556","601,080","65,412","49,400","76,978","53,549","48,834","76,394",Bye,"52,950","51,751","80,366","71,726","46,001","87,572","76,957","49,571","65,675","51,500"
2013,Philadelphia Eagles,"1,141,155","553,152","588,003","82,743","69,144","69,144","77,002","80,738","62,505","69,144","69,144","51,751","78,011","69,144",Bye,"69,144","69,144","64,087","69,144","91,166"
2013,Pittsburgh Steelers,"1,025,772","458,489","567,283","61,585","64,585","61,575","83,518",Bye,"76,957","62,295","52,950","68,756","60,406","57,905","71,513","71,005","52,489","45,873","77,999","56,361"
2013,San Diego Chargers,"1,052,439","513,641","538,798","59,522","69,144","69,143","68,601","48,834","57,954","59,550",Bye,"80,115","68,847","60,256","75,259","61,536","65,132","76,497","65,675","66,374"
2013,San Francisco 49ers,"1,116,046","557,856","558,190","69,732","68,338","69,732","56,640","69,732","69,732","69,143","83,559",Bye,"69,732","73,025","79,773","69,732","69,732","64,142","69,732","63,570"
2013,Seattle Seahawks,"1,094,133","545,577","548,556","73,294","68,338","68,087","71,756","66,608","68,127","61,200","55,966","67,873","70,309","68,235",Bye,"68,387","69,732","79,691","68,266","68,264"
2013,St. Louis Rams,"1,014,994","455,657","559,337","55,279","70,056","80,848","56,640","54,266","71,104","72,686","55,966","54,617","66,004",Bye,"66,024","69,732","60,643","58,442","54,423","68,264"
2013,Tampa Bay Buccaneers,"1,016,122","470,548","545,574","76,957","60,870","68,756","44,956",Bye,"62,505","69,522","59,073","67,873","64,448","55,360","62,098","72,795","59,194","64,142","54,423","73,150"
2013,Tennessee Titans,"1,057,807","553,144","504,663","61,585","71,718","69,143","69,143","69,143","68,127","69,143",Bye,"54,617","69,143","69,143","46,001","65,502","76,554","69,143","60,559","69,143"
2013,Washington Redskins,"1,200,007","617,767","582,240","82,743","78,020","80,111","53,549",Bye,"90,239","83,147","77,031","80,115","64,011","69,144","79,773","75,220","56,247","70,069","80,411","80,177"
2014,Arizona Cardinals,"1,053,326","495,835","557,491","61,292","78,344","61,572",Bye,"76,895","61,139","52,101","61,789","85,688","61,363","62,487","68,327","69,557","62,387","55,880","63,806","70,699"
2014,Atlanta Falcons,"1,121,026","577,047","543,979","70,706","58,574","70,318","52,173","80,307","70,712","71,184","83,532",Bye,"57,751","73,314","70,046","69,557","77,512","71,161","73,164","71,015"
2014,Baltimore Ravens,"1,096,129","568,353","527,776","70,925","71,181","67,407","71,218","65,258","60,041","71,184","55,711","63,971","70,914",Bye,"73,373","71,060","70,244","70,801","71,771","71,070"
2014,Buffalo Bills,"1,085,974","540,180","545,794","62,425","69,954","68,611","71,756","62,775","70,185","68,477","78,160",Bye,"68,119","71,573","56,044","68,576","76,913","70,214","53,436","68,756"
2014,Carolina Panthers,"1,123,313","588,861","534,452","62,442","73,586","73,945","71,218","73,659","57,053","78,106","74,042","73,663","69,596","73,314",Bye,"52,016","73,006","72,842","73,810","71,015"
2014,Chicago Bears,"1,050,366","493,449","556,917","62,425","70,799","78,160","61,736","73,659","70,712","62,413","68,756",Bye,"78,292","61,792","61,109","64,175","61,558","60,996","61,420","52,364"
2014,Cincinnati Bengals,"1,025,166","485,628","539,538","70,925","58,574","56,743",Bye,"68,756","57,053","66,539","55,711","60,057","65,871","73,073","71,777","56,340","65,512","67,431","66,107","64,697"
2014,Cleveland Browns,"1,083,855","539,400","544,455","64,598","67,407","67,407",Bye,"69,143","67,431","61,341","67,431","67,431","65,871","67,431","70,046","68,576","67,431","67,431","73,810","71,070"
2014,Dallas Cowboys,"1,293,046","720,558","572,488","91,174","69,143","58,739","91,176","91,159","68,432","91,028","87,055","85,688","83,603",Bye,"80,520","91,379","61,558","69,596","91,899","80,897"
2014,Denver Broncos,"1,156,767","615,517","541,250","76,939","76,900","68,447",Bye,"76,895","78,160","77,047","76,907","68,756","54,803","59,401","76,987","76,894","76,913","68,682","66,107","76,929"
2014,Detroit Lions,"1,062,760","504,198","558,562","64,401","73,586","62,418","78,160","62,775","52,213","63,271","83,532",Bye,"63,179","62,487","68,756","64,175","61,489","62,490","61,420","78,408"
2014,Green Bay Packers,"1,148,560","625,114","523,446","68,424","78,041","62,418","61,736","78,054","70,875","78,106","73,146",Bye,"78,292","78,270","52,386","78,431","77,512","70,214","64,247","78,408"
2014,Houston Texans,"1,115,983","574,132","541,851","71,770","54,063","77,462","71,756","91,159","71,787","56,375","69,143","71,780",Bye,"67,431","71,777","71,714","61,070","65,148","71,771","71,777"
